Part Name,Material Composition,Age (years),Condition,Location,Manufacturer,Aircraft Model,Potential Use Cases,New Parts Carbon Footprint (kg CO2e),Recycled Parts Carbon Footprint (kg CO2e),Water Usage - New Parts (liters),Water Usage - Recycled Parts (liters),Landfill Waste - New Parts (kg),Landfill Waste - Recycled Parts (kg),Energy Consumption - New Parts (kWh),Energy Consumption - Recycled Parts (kWh),Recycling Rate (%),Toxicity Score - New Parts,Toxicity Score - Recycled Parts,Remanufacturing Potential,Life Cycle Assessment,Renewable Material Content (%),Carbon Footprint Saved (kg CO2e),Water Usage Saved (liters),Landfill Waste Saved (kg),Energy Consumption Saved (kWh),Toxicity Score Difference,Remanufacturing Potential (%),Life Cycle Assessment Score
Avionics,Composite,12,New,Australia,Bombardier,Citation X,Aircraft Maintenance,754,113,8605,235,716,96,4298,285,55.10783877,1.297049941,1.750949567,0.1604802455,25.75336685,34.42007584,641,8370,620,4013,-0.4538996255,16.04802455,25.75336685
Landing Gear,Steel,32,Used,North America,Boeing,737,Automotive Components,967,160,3495,534,793,196,510,293,89.54339262,7.122123916,4.870795043,0.1273984593,7.156466628,74.49711532,807,2961,597,217,2.251328873,12.73984593,7.156466628
Avionics,Steel,34,Used,Asia,Cessna,A320,Automotive Components,139,88,5632,737,657,177,3540,294,64.60407774,5.982223604,4.665787228,0.07779458278,38.22148024,37.47288433,51,4895,480,3246,1.316436376,7.779458278,38.22148024
Avionics,Steel,45,Used,Asia,Embraer,A320,Furniture,364,116,1957,582,593,77,955,474,52.74798731,2.924056082,4.217764486,0.4070908614,30.30973828,0.7559534425,248,1375,516,481,-1.293708404,40.70908614,30.30973828
Landing Gear,Aluminum,46,Used,North America,Bombardier,G650,Building Materials,326,35,1634,449,628,143,4698,188,63.45767192,8.018216152,2.628560941,0.0781399972,58.06937158,64.5459649,291,1185,485,4510,5.389655211,7.81399972,58.06937158
Avionics,Steel,9,Used,Australia,Airbus,E175,Building Materials,774,86,6082,749,479,101,1547,265,83.38722578,3.417337762,2.994464383,0.4068750422,27.41228407,87.23288423,688,5333,378,1282,0.4228733787,40.68750422,27.41228407
Fuselage,Composite,3,New,North America,Gulfstream,Citation X,Furniture,426,162,4986,800,455,185,4554,175,54.71182173,9.020301256,1.80597661,0.6386069164,67.71843655,62.30135196,264,4186,270,4379,7.214324647,63.86069164,67.71843655
Engine,Aluminum,3,Used,Africa,Embraer,E175,Art Installations,601,161,7911,946,850,81,3748,362,53.22929187,3.624706808,2.295193766,0.0170016698,86.85907181,54.46832589,440,6965,769,3386,1.329513042,1.70016698,86.85907181
Wing,Titanium,22,New,Africa,Embraer,G650,Art Installations,804,128,1874,249,353,60,744,228,73.61333701,1.858057717,3.471148476,0.9736703336,36.20640958,2.026473203,676,1625,293,516,-1.613090759,97.36703336,36.20640958
Avionics,Steel,49,Used,North America,Embraer,A320,Aircraft Maintenance,360,29,4372,559,564,183,2457,301,74.89860857,7.613608083,2.684587872,0.5161374707,46.40037309,23.48053916,331,3813,381,2156,4.929020212,51.61374707,46.40037309
Landing Gear,Steel,43,Used,North America,Airbus,G650,Art Installations,878,25,8554,756,850,194,1628,140,60.23082636,5.986040405,4.963076547,0.9480893116,88.91002893,42.91720221,853,7798,656,1488,1.022963859,94.80893116,88.91002893
Wing,Steel,6,Used,Europe,Gulfstream,G650,Furniture,845,74,2036,834,689,51,4956,462,55.87919727,7.847155883,4.164297828,0.9734770698,29.90611657,18.68317815,771,1202,638,4494,3.682858055,97.34770698,29.90611657
Fuselage,Composite,34,Used,South America,Bombardier,G650,Building Materials,227,57,8824,822,235,37,2119,398,59.8617549,3.072435167,3.143637042,0.3689733517,57.15230897,57.10811235,170,8002,198,1721,-0.0712018747,36.89733517,57.15230897
Wing,Aluminum,46,Used,Asia,Embraer,E175,Building Materials,860,134,8872,247,558,42,1992,231,64.85216201,1.079473471,4.62279328,0.2889935684,64.45714944,32.65268241,726,8625,516,1761,-3.543319808,28.89935684,64.45714944
Landing Gear,Composite,45,Used,Asia,Gulfstream,CRJ900,Aircraft Maintenance,752,135,2866,688,783,85,1187,495,86.13289397,7.699183189,3.338222622,0.0203805033,19.95451262,89.11373236,617,2178,698,692,4.360960566,2.03805033,19.95451262
Wing,Aluminum,7,New,South America,Embraer,737,Building Materials,151,100,5473,958,484,62,2665,490,62.19609195,6.25938891,1.01695213,0.6917428069,54.2066165,53.9284522,51,4515,422,2175,5.24243678,69.17428069,54.2066165
Engine,Composite,44,Used,South America,Cessna,737,Furniture,178,128,5478,808,114,183,4969,431,67.6803782,7.944455621,1.841918045,0.1514564961,38.91176773,43.46811063,50,4670,-69,4538,6.102537576,15.14564961,38.91176773
Avionics,Composite,27,New,Africa,Bombardier,737,Art Installations,718,88,1328,682,442,59,3892,360,51.54788128,2.36442321,4.216445208,0.06480141475,29.49297489,46.54483141,630,646,383,3532,-1.852021998,6.480141475,29.49297489
Fuselage,Composite,15,New,South America,Bombardier,CRJ900,Building Materials,197,166,6512,662,751,26,1118,207,62.64312608,7.758346848,4.652409594,0.9846719722,92.61742042,85.22831825,31,5850,725,911,3.105937255,98.46719722,92.61742042
Wing,Steel,28,New,South America,Airbus,E175,Aircraft Maintenance,565,129,3913,376,783,172,2057,499,89.9378477,8.089719808,2.88863171,0.07675246892,26.67414583,97.31257361,436,3537,611,1558,5.201088098,7.675246892,26.67414583
Landing Gear,Titanium,25,Used,Asia,Airbus,CRJ900,Automotive Components,424,39,5894,660,812,90,1982,271,71.34862396,2.585387413,4.643052272,0.4690245109,71.07739797,26.81759578,385,5234,722,1711,-2.057664859,46.90245109,71.07739797
Fuselage,Steel,13,Used,Asia,Boeing,737,Automotive Components,476,28,4903,617,675,143,1228,429,94.60816999,2.793941323,1.042247601,0.3917733824,64.10212825,12.94880097,448,4286,532,799,1.751693722,39.17733824,64.10212825
Wing,Titanium,3,Used,Asia,Embraer,E175,Aircraft Maintenance,442,172,3517,819,964,97,2650,229,83.24873421,1.285216154,2.631617932,0.8143248279,64.25451037,95.98006468,270,2698,867,2421,-1.346401778,81.43248279,64.25451037
Fuselage,Titanium,20,Used,Africa,Cessna,A320,Art Installations,446,106,3922,417,547,120,4772,274,55.26853563,5.645020839,2.032648688,0.2241471357,92.17683015,33.74093871,340,3505,427,4498,3.612372151,22.41471357,92.17683015
Engine,Steel,3,Used,Africa,Embraer,G650,Aircraft Maintenance,283,190,3631,968,928,137,1668,274,88.93635322,4.681479283,3.368644701,0.6535171795,87.8853466,34.06001514,93,2663,791,1394,1.312834582,65.35171795,87.8853466
Fuselage,Aluminum,32,Used,Africa,Gulfstream,A320,Furniture,301,43,2565,344,926,53,828,167,72.6693998,6.197842524,3.915459839,0.6129565578,40.6836037,56.41891017,258,2221,873,661,2.282382685,61.29565578,40.6836037
Landing Gear,Titanium,35,New,Asia,Embraer,E175,Automotive Components,461,76,6487,440,970,197,3215,340,81.65406209,3.5945788,4.61489049,0.832279976,36.74805411,34.69474355,385,6047,773,2875,-1.020311689,83.2279976,36.74805411
Avionics,Aluminum,22,New,Asia,Airbus,Citation X,Art Installations,918,30,3974,888,367,47,1871,475,91.39285808,5.829563942,3.396008841,0.4473826769,21.13886782,15.98095307,888,3086,320,1396,2.433555101,44.73826769,21.13886782
Wing,Composite,7,Used,Africa,Airbus,Citation X,Automotive Components,160,137,9117,789,436,148,2113,383,62.32352784,2.114602058,2.993634637,0.5582552251,8.806128615,68.0402281,23,8328,288,1730,-0.8790325784,55.82552251,8.806128615
Engine,Composite,46,Used,Asia,Gulfstream,A320,Automotive Components,749,195,3411,953,100,68,1770,165,76.52528234,3.559274648,4.032871438,0.9263741708,94.88691286,45.64451121,554,2458,32,1605,-0.4735967895,92.63741708,94.88691286
Fuselage,Steel,7,New,Australia,Boeing,G650,Building Materials,697,164,4231,589,174,36,2242,225,64.65079877,1.607010628,3.025549047,0.2782614048,91.42622603,4.66589633,533,3642,138,2017,-1.418538419,27.82614048,91.42622603
Avionics,Titanium,45,New,South America,Airbus,G650,Aircraft Maintenance,497,190,7846,500,268,125,1073,238,65.90389727,4.641087415,2.245909861,0.4203033123,52.80635811,46.02849743,307,7346,143,835,2.395177554,42.03033123,52.80635811
Engine,Composite,12,Used,Africa,Cessna,G650,Art Installations,696,99,9393,826,661,191,2601,183,67.16334795,1.123671677,3.50638456,0.9836045937,35.66320683,58.87441186,597,8567,470,2418,-2.382712883,98.36045937,35.66320683
Avionics,Steel,42,New,South America,Bombardier,Citation X,Aircraft Maintenance,744,31,1779,602,404,184,1326,290,50.74327682,4.224012166,4.380823695,0.2671695804,31.35304347,90.20555365,713,1177,220,1036,-0.1568115295,26.71695804,31.35304347
Landing Gear,Titanium,44,Used,Africa,Gulfstream,Citation X,Building Materials,960,140,6934,558,357,191,3454,147,94.98984542,5.926355078,3.027699617,0.7820338064,45.03984412,65.68995261,820,6376,166,3307,2.898655461,78.20338064,45.03984412
Fuselage,Aluminum,3,New,South America,Bombardier,G650,Art Installations,381,24,2333,961,281,104,1898,218,92.22944227,4.943352362,3.752862497,0.4840292171,59.26969308,39.87953345,357,1372,177,1680,1.190489864,48.40292171,59.26969308
Avionics,Titanium,47,Used,South America,Embraer,G650,Furniture,990,139,3469,727,455,103,2016,123,53.57699653,8.681373993,2.423556234,0.5496490187,54.25290938,55.01687343,851,2742,352,1893,6.257817759,54.96490187,54.25290938
Landing Gear,Titanium,46,New,South America,Embraer,A320,Furniture,707,88,5801,764,220,40,811,374,71.52782306,7.052068633,4.09669555,0.2534023211,51.20498364,52.23236712,619,5037,180,437,2.955373083,25.34023211,51.20498364
Engine,Titanium,45,New,Asia,Boeing,G650,Aircraft Maintenance,871,41,7677,399,222,70,4247,322,88.94476357,3.402198573,4.088695067,0.8885832241,54.86181757,36.08441819,830,7278,152,3925,-0.6864964934,88.85832241,54.86181757
Engine,Aluminum,21,Used,Australia,Embraer,737,Automotive Components,478,182,6512,710,906,127,2072,122,72.12344425,8.286440063,3.503010525,0.7392089333,91.58480472,50.67403867,296,5802,779,1950,4.783429538,73.92089333,91.58480472
Landing Gear,Titanium,48,New,Asia,Gulfstream,A320,Building Materials,351,79,9273,254,303,190,1402,127,65.12101941,9.898890031,1.624205837,0.5272960307,5.59210923,28.78027463,272,9019,113,1275,8.274684193,52.72960307,5.59210923
Engine,Titanium,37,New,Australia,Bombardier,737,Art Installations,494,38,5080,704,275,86,3049,316,89.56946117,7.262572891,3.84816793,0.04696024162,28.74920101,65.12353451,456,4376,189,2733,3.414404961,4.696024162,28.74920101
Wing,Composite,35,Used,Australia,Bombardier,G650,Automotive Components,530,165,6960,865,897,155,2510,364,52.97979558,4.690679212,2.720569196,0.3648238415,83.84657038,25.72756324,365,6095,742,2146,1.970110016,36.48238415,83.84657038
Wing,Composite,38,Used,North America,Boeing,G650,Building Materials,371,90,1031,442,534,160,4529,239,88.66876718,4.200233152,2.589951841,0.7049493136,99.0646268,85.46493908,281,589,374,4290,1.610281311,70.49493136,99.0646268
Engine,Titanium,11,New,Europe,Embraer,E175,Art Installations,647,99,2714,246,758,99,3642,121,75.80430952,9.39428491,4.785790523,0.9130336034,7.977981143,28.06457316,548,2468,659,3521,4.608494387,91.30336034,7.977981143
Landing Gear,Steel,29,Used,North America,Airbus,G650,Building Materials,413,122,6997,646,799,116,607,138,93.38431873,9.319571742,1.06560184,0.6680906753,31.34608766,44.59893851,291,6351,683,469,8.253969902,66.80906753,31.34608766
Landing Gear,Composite,28,Used,South America,Airbus,A320,Automotive Components,747,90,8983,695,506,191,3818,336,70.34672357,8.711630267,3.141539648,0.4571972666,81.92598487,49.97921128,657,8288,315,3482,5.570090619,45.71972666,81.92598487
Wing,Aluminum,41,Used,South America,Gulfstream,737,Building Materials,804,27,7291,980,353,60,3021,198,93.76238113,1.972968121,4.346969116,0.730519385,17.48449337,70.93691877,777,6311,293,2823,-2.374000994,73.0519385,17.48449337
Engine,Titanium,13,Used,North America,Airbus,A320,Art Installations,696,179,3060,523,964,180,3998,142,64.45919462,5.226618063,4.416101568,0.3848969792,80.86905131,20.21506643,517,2537,784,3856,0.8105164945,38.48969792,80.86905131
Avionics,Titanium,49,Used,North America,Cessna,CRJ900,Art Installations,416,134,8958,306,748,160,4021,405,64.79116677,4.874622304,2.306584463,0.5889596235,27.37350239,49.25011659,282,8652,588,3616,2.56803784,58.89596235,27.37350239
Wing,Titanium,31,Used,Australia,Airbus,E175,Automotive Components,854,150,1211,759,682,139,2096,322,94.7075328,7.659603127,4.104007606,0.9260717051,14.72939929,9.496828359,704,452,543,1774,3.555595521,92.60717051,14.72939929
Avionics,Titanium,41,New,Africa,Bombardier,G650,Automotive Components,994,177,7452,960,456,27,3678,214,65.6474161,6.531322384,4.072622847,0.8882878426,8.306935039,37.0745629,817,6492,429,3464,2.458699537,88.82878426,8.306935039
Avionics,Steel,21,New,Europe,Cessna,Citation X,Art Installations,419,113,1855,500,683,58,4149,398,62.12056582,9.56059286,1.81285098,0.749872642,25.96398927,51.47027294,306,1355,625,3751,7.74774188,74.9872642,25.96398927
Fuselage,Titanium,30,Used,North America,Embraer,G650,Furniture,359,191,3304,747,172,129,2684,171,94.74968931,1.725478971,1.634447466,0.5120271464,73.5805404,12.4952919,168,2557,43,2513,0.0910315055,51.20271464,73.5805404
Landing Gear,Composite,39,Used,Europe,Embraer,A320,Building Materials,699,96,5210,554,193,30,2892,141,71.10559884,3.870028318,3.367600385,0.06221596956,8.134806054,91.98718235,603,4656,163,2751,0.5024279327,6.221596956,8.134806054
Fuselage,Steel,36,New,Europe,Embraer,Citation X,Furniture,223,119,6125,847,482,132,3047,377,94.2506439,3.08710853,3.350828699,0.8242515783,82.48899937,20.69345882,104,5278,350,2670,-0.263720169,82.42515783,82.48899937
Wing,Aluminum,32,New,Australia,Embraer,Citation X,Art Installations,669,101,8777,473,491,61,3112,115,79.69927536,2.420931447,1.108761887,0.5002369227,11.22602737,22.36489169,568,8304,430,2997,1.31216956,50.02369227,11.22602737
Fuselage,Aluminum,6,Used,North America,Gulfstream,737,Automotive Components,658,118,8990,829,336,36,3601,133,69.8359433,7.248883925,2.846896102,0.0199115464,65.46163426,37.49607453,540,8161,300,3468,4.401987823,1.99115464,65.46163426
Landing Gear,Titanium,49,Used,Africa,Boeing,A320,Building Materials,168,186,3272,389,620,50,1578,237,60.07974062,5.718695313,2.111474663,0.860954022,24.25638618,73.59740879,-18,2883,570,1341,3.60722065,86.0954022,24.25638618
Engine,Aluminum,45,Used,South America,Cessna,737,Art Installations,736,170,2898,245,390,196,3201,339,63.22785373,1.43382655,1.805001841,0.1219612176,67.17944412,18.06031217,566,2653,194,2862,-0.3711752903,12.19612176,67.17944412
Landing Gear,Composite,37,New,North America,Embraer,Citation X,Aircraft Maintenance,666,166,4434,773,975,47,4009,119,75.58775432,7.573644356,1.749966837,0.09875635151,58.43540578,98.93840927,500,3661,928,3890,5.823677519,9.875635151,58.43540578
Engine,Steel,19,New,Africa,Gulfstream,737,Automotive Components,474,73,9385,557,223,41,3978,244,50.16744405,9.6361699,1.231379781,0.9528181069,28.0849463,56.49308407,401,8828,182,3734,8.404790119,95.28181069,28.0849463
Engine,Aluminum,29,New,North America,Cessna,G650,Aircraft Maintenance,344,184,7131,806,942,64,4572,129,53.10104273,3.266885988,2.345564529,0.8713348614,71.60809978,12.24957856,160,6325,878,4443,0.9213214591,87.13348614,71.60809978
Fuselage,Composite,41,Used,Australia,Embraer,G650,Automotive Components,868,109,3752,506,408,33,1539,392,84.11843537,2.887703424,1.144490293,0.9785298067,33.59569434,52.48931186,759,3246,375,1147,1.743213131,97.85298067,33.59569434
Wing,Steel,5,New,Asia,Bombardier,A320,Building Materials,959,35,2968,611,946,81,1449,268,58.17606924,5.132244612,4.067697499,0.5867537703,67.58439069,75.42499771,924,2357,865,1181,1.064547112,58.67537703,67.58439069
Avionics,Aluminum,22,New,Europe,Bombardier,737,Aircraft Maintenance,216,44,3113,913,879,128,2023,203,53.90243227,9.863194599,4.956216449,0.2561408628,13.22483253,95.95031406,172,2200,751,1820,4.90697815,25.61408628,13.22483253
Landing Gear,Aluminum,6,Used,Europe,Bombardier,CRJ900,Art Installations,818,196,9009,865,969,52,2794,214,78.77359261,9.090526968,4.0577419,0.2420988099,15.10972904,58.53529578,622,8144,917,2580,5.032785067,24.20988099,15.10972904
Fuselage,Steel,43,New,Europe,Bombardier,E175,Furniture,647,64,3388,975,433,138,3743,245,70.06283059,1.0201735,3.718760237,0.9630290094,17.86275009,35.43982715,583,2413,295,3498,-2.698586736,96.30290094,17.86275009
Fuselage,Composite,36,New,Australia,Bombardier,Citation X,Furniture,143,144,9585,532,425,91,865,283,79.33601258,5.493470923,4.973131816,0.01625150296,97.79733412,0.4281055433,-1,9053,334,582,0.5203391075,1.625150296,97.79733412
Engine,Titanium,28,Used,South America,Boeing,G650,Furniture,451,94,4622,914,705,156,893,388,90.54086632,7.969438993,2.458834218,0.4578430002,85.85135674,28.39068227,357,3708,549,505,5.510604775,45.78430002,85.85135674
Avionics,Titanium,24,Used,Australia,Bombardier,Citation X,Building Materials,561,179,9461,392,992,70,4890,299,59.44481196,4.403347536,1.678254787,0.3725993715,9.862696056,16.53202843,382,9069,922,4591,2.725092749,37.25993715,9.862696056
Landing Gear,Titanium,20,Used,Australia,Bombardier,737,Art Installations,529,126,8694,853,562,132,2827,211,90.23906453,9.981437972,3.671816918,0.3242054969,32.84154915,76.03586019,403,7841,430,2616,6.309621053,32.42054969,32.84154915
Engine,Aluminum,13,New,North America,Boeing,A320,Building Materials,100,149,9978,801,168,137,1916,223,71.03915178,1.257161607,1.936888854,0.6144757949,7.022018997,78.20063125,-49,9177,31,1693,-0.6797272471,61.44757949,7.022018997
Landing Gear,Composite,32,New,Africa,Embraer,E175,Automotive Components,666,22,3342,538,508,180,3132,462,80.51115358,9.826376624,3.631150954,0.6622672576,23.87658647,36.27219338,644,2804,328,2670,6.19522567,66.22672576,23.87658647
Avionics,Composite,6,New,South America,Boeing,G650,Art Installations,811,30,1204,465,841,108,771,237,66.15463725,7.725264904,3.904975364,0.9790969833,35.69395938,61.59534189,781,739,733,534,3.82028954,97.90969833,35.69395938
Wing,Aluminum,43,Used,North America,Bombardier,E175,Automotive Components,112,156,7581,383,214,109,3827,309,88.52655417,5.604163724,1.846161154,0.2803189342,73.8203791,87.12661309,-44,7198,105,3518,3.75800257,28.03189342,73.8203791
Avionics,Composite,8,New,Europe,Embraer,Citation X,Art Installations,829,125,1259,871,962,94,2822,483,62.21418615,9.10727014,2.544589369,0.3782553516,82.16201466,58.28918764,704,388,868,2339,6.562680772,37.82553516,82.16201466
Avionics,Titanium,46,New,South America,Embraer,G650,Automotive Components,382,27,1631,469,598,161,639,251,88.89802811,4.489692851,1.347647702,0.9572906897,9.635963299,35.24658626,355,1162,437,388,3.142045149,95.72906897,9.635963299
Landing Gear,Composite,31,New,Europe,Embraer,G650,Automotive Components,287,126,3672,840,648,23,4403,478,93.56766709,3.641225374,4.100936601,0.2514843593,73.63525825,94.91415458,161,2832,625,3925,-0.4597112263,25.14843593,73.63525825
Landing Gear,Aluminum,8,Used,Africa,Airbus,CRJ900,Automotive Components,201,114,7878,410,446,24,3646,416,69.75114122,4.666478036,2.833234367,0.7806050811,63.8144956,92.64577048,87,7468,422,3230,1.833243669,78.06050811,63.8144956
Fuselage,Titanium,26,Used,Australia,Bombardier,CRJ900,Aircraft Maintenance,642,138,2225,897,254,87,4284,384,86.61732466,7.515884745,1.873679674,0.9011907132,39.00628648,10.84879043,504,1328,167,3900,5.642205071,90.11907132,39.00628648
Engine,Aluminum,12,Used,North America,Bombardier,CRJ900,Automotive Components,115,20,2448,722,596,99,4249,135,77.03362038,8.139609966,3.339535716,0.6863322146,93.72840438,93.33381108,95,1726,497,4114,4.800074251,68.63322146,93.72840438
Wing,Aluminum,6,Used,South America,Cessna,E175,Furniture,550,104,7403,877,168,199,2671,338,53.26814442,1.372090248,1.605734351,0.8828322034,15.60121408,53.6116184,446,6526,-31,2333,-0.2336441028,88.28322034,15.60121408
Landing Gear,Aluminum,18,Used,Asia,Cessna,CRJ900,Automotive Components,545,112,7775,725,131,70,709,117,53.95453572,9.988329034,2.031077904,0.6406215298,25.22280052,84.89908609,433,7050,61,592,7.95725113,64.06215298,25.22280052
Avionics,Steel,26,New,South America,Embraer,A320,Furniture,168,110,3885,828,855,169,2087,391,72.15144272,4.920540193,1.244094215,0.4429309958,35.43375266,6.731820213,58,3057,686,1696,3.676445978,44.29309958,35.43375266
Avionics,Titanium,22,Used,South America,Bombardier,CRJ900,Aircraft Maintenance,908,136,7195,255,237,69,3260,139,86.76606849,4.239032989,1.343398454,0.9784450087,2.812352151,22.92854192,772,6940,168,3121,2.895634535,97.84450087,2.812352151
Engine,Composite,31,New,South America,Gulfstream,E175,Building Materials,549,58,7437,369,380,188,1976,379,50.73007243,6.467466073,1.58910101,0.9235996122,92.77475417,0.4423040889,491,7068,192,1597,4.878365063,92.35996122,92.77475417
Wing,Titanium,28,Used,Australia,Embraer,CRJ900,Building Materials,955,58,7978,275,562,125,3813,411,73.82310723,5.134704401,4.415294243,0.9621757009,87.7418088,0.2736578083,897,7703,437,3402,0.7194101587,96.21757009,87.7418088
Wing,Steel,30,New,Europe,Boeing,737,Aircraft Maintenance,517,82,9717,432,745,179,2816,369,92.14453252,2.494636485,4.843644173,0.6138255046,79.61495478,9.168229302,435,9285,566,2447,-2.349007688,61.38255046,79.61495478
Fuselage,Steel,7,Used,Asia,Gulfstream,A320,Aircraft Maintenance,551,33,8503,621,920,80,2460,152,57.4461952,5.446657669,3.163945192,0.5153960157,74.78585545,48.63540822,518,7882,840,2308,2.282712477,51.53960157,74.78585545
Wing,Aluminum,11,Used,Africa,Cessna,A320,Art Installations,667,156,9090,867,649,54,823,470,86.06342998,2.125430866,4.215579703,0.4224660574,1.626362749,40.4345064,511,8223,595,353,-2.090148837,42.24660574,1.626362749
Wing,Titanium,36,New,Africa,Airbus,A320,Art Installations,108,159,2247,259,712,48,1281,118,79.64084072,9.916296764,1.997958503,0.572437334,37.82355737,88.71386408,-51,1988,664,1163,7.918338261,57.2437334,37.82355737
Avionics,Steel,30,Used,Asia,Gulfstream,CRJ900,Building Materials,473,128,8229,252,579,64,3822,216,72.90214755,8.366016259,2.189263243,0.7237137061,63.38805438,93.63451719,345,7977,515,3606,6.176753016,72.37137061,63.38805438
Fuselage,Steel,40,Used,Africa,Airbus,G650,Art Installations,858,62,5739,200,960,21,4206,127,69.06702514,4.112745245,2.099090354,0.1051127284,11.21684946,76.40690989,796,5539,939,4079,2.013654892,10.51127284,11.21684946
Engine,Aluminum,34,Used,Africa,Boeing,737,Furniture,934,148,6517,578,261,127,4209,227,57.03273103,2.880299417,1.384557701,0.3275703144,19.52402283,48.79660237,786,5939,134,3982,1.495741717,32.75703144,19.52402283
Landing Gear,Steel,34,Used,Asia,Gulfstream,737,Aircraft Maintenance,227,65,8151,210,997,20,3147,153,84.95109628,8.930497873,2.206426728,0.7802545333,38.67448314,30.31633171,162,7941,977,2994,6.724071145,78.02545333,38.67448314
Engine,Aluminum,24,Used,North America,Boeing,CRJ900,Building Materials,593,25,5644,566,640,79,1575,103,62.66463954,3.433445052,1.828974014,0.7594000006,63.03485743,24.61365023,568,5078,561,1472,1.604471038,75.94000006,63.03485743
Avionics,Composite,12,New,North America,Bombardier,E175,Aircraft Maintenance,718,164,8867,939,946,117,2956,260,56.525013,3.091930228,2.345127893,0.1192255033,84.41451725,13.75140078,554,7928,829,2696,0.7468023359,11.92255033,84.41451725
Avionics,Steel,4,New,Asia,Bombardier,A320,Aircraft Maintenance,742,84,8730,611,555,94,4994,340,57.96353136,1.256649943,2.358738309,0.2936278545,26.15131793,42.45675371,658,8119,461,4654,-1.102088366,29.36278545,26.15131793
Wing,Composite,16,Used,North America,Bombardier,E175,Building Materials,824,20,4429,336,457,88,589,439,60.27650714,8.451708327,1.612571807,0.5008196309,93.57097961,67.95740534,804,4093,369,150,6.83913652,50.08196309,93.57097961
Landing Gear,Titanium,15,Used,North America,Cessna,CRJ900,Automotive Components,273,126,8226,702,478,171,3977,273,50.9360903,6.387213838,1.821157319,0.8913512623,96.86352174,4.866450477,147,7524,307,3704,4.566056519,89.13512623,96.86352174
Wing,Steel,25,New,Asia,Gulfstream,CRJ900,Aircraft Maintenance,694,197,7817,985,504,50,3293,307,76.50061562,3.21494584,1.394248881,0.7398240526,57.74957908,84.95524985,497,6832,454,2986,1.820696959,73.98240526,57.74957908
Fuselage,Aluminum,37,Used,Africa,Gulfstream,E175,Automotive Components,237,186,9319,661,408,102,2050,307,70.03586237,7.594646969,1.821916376,0.6423648752,57.18770462,90.53372693,51,8658,306,1743,5.772730593,64.23648752,57.18770462
